date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2018-01-02,2454,2537800,737884500,293.0,293.5,289.0,291.5,-2.5,2170
2018-01-03,2454,8197202,2457754182,295.0,302.5,295.0,300.5,9.0,5380
2018-01-04,2454,6783498,2045161886,301.0,307.0,298.0,307.0,6.5,4411
2018-01-05,2454,4965501,1497589301,310.0,310.0,297.0,300.0,-7.0,4032
2018-01-08,2454,4142031,1246085238,304.0,306.0,296.0,298.0,-2.0,3354
2018-01-09,2454,5147465,1554053895,297.0,304.0,296.0,304.0,6.0,3812
2018-01-10,2454,6851283,2102171284,304.5,311.0,302.0,309.5,5.5,5020
2018-01-11,2454,3775458,1151503406,309.5,309.5,302.5,306.0,-3.5,2780
2018-01-12,2454,5579414,1729514122,309.0,311.5,307.0,309.5,3.5,2920
2018-01-15,2454,4350414,1356536168,312.0,313.0,308.5,313.0,3.5,3003
2018-01-16,2454,4648847,1447447827,311.0,314.0,309.0,312.0,-1.0,2946
2018-01-17,2454,5882149,1797448689,308.0,308.0,303.5,306.5,-5.5,3952
2018-01-18,2454,8801766,2783065628,308.5,321.5,307.0,319.5,13.0,6063
2018-01-19,2454,7447305,2359053990,321.0,321.0,314.0,319.0,-0.5,4572
2018-01-22,2454,5556851,1752790673,317.0,319.0,312.0,319.0,0.0,4000
2018-01-23,2454,10574361,3387271687,318.5,323.5,317.0,318.0,-1.0,4831
2018-01-24,2454,7802626,2419033601,315.0,316.0,307.5,307.5,-10.5,5143
2018-01-25,2454,9112131,2830608640,308.0,317.0,305.5,305.5,-2.0,5628
2018-01-26,2454,7022277,2129207316,300.5,308.5,300.5,308.0,2.5,4107
2018-01-29,2454,4417172,1369854976,314.0,314.0,307.0,308.0,0.0,2971
2018-01-30,2454,6988505,2106321000,305.5,305.5,298.5,299.0,-9.0,4277
2018-01-31,2454,7830732,2349990830,295.0,304.0,295.0,299.0,0.0,3804
2018-02-01,2454,13669201,4221421137,310.0,311.0,306.5,307.0,8.0,6700
2018-02-02,2454,5242656,1594570080,304.0,306.5,301.5,304.5,-2.5,3124
2018-02-05,2454,5583969,1665084169,295.0,301.0,295.0,299.0,-5.5,3806
2018-02-06,2454,11116800,3171040900,290.0,292.0,279.0,286.5,-12.5,7745
2018-02-07,2454,7681256,2221927960,292.5,295.0,284.5,284.5,-2.0,5379
2018-02-08,2454,4649916,1329808392,285.0,288.5,283.0,286.0,1.5,3062
2018-02-09,2454,8477304,2361336140,272.5,286.0,270.0,283.0,-3.0,4974
2018-02-12,2454,5525043,1582507255,286.5,289.0,283.0,285.0,2.0,3527
2018-02-21,2454,11124413,3331870818,293.5,304.5,292.0,304.5,19.5,7132
2018-02-22,2454,7652415,2314089330,300.0,306.0,298.5,302.0,-2.5,3770
2018-02-23,2454,6895549,2073977032,300.0,302.0,299.5,300.5,-1.5,3816
2018-02-26,2454,3620576,1085968648,304.5,304.5,296.5,296.5,-4.0,2666
2018-02-27,2454,9192774,2791847974,302.0,307.0,301.0,301.0,4.5,4571
2018-03-01,2454,9511203,2840415948,301.0,302.5,294.5,299.5,-1.5,5349
2018-03-02,2454,11706432,3550979916,296.0,307.0,296.0,302.5,3.0,5596
2018-03-05,2454,7595028,2270568837,302.5,303.0,295.0,295.0,-7.5,4846
2018-03-06,2454,8100162,2427703282,299.0,303.0,296.5,301.0,6.0,4263
2018-03-07,2454,10376719,3152730919,297.5,307.5,297.5,300.0,-1.0,5525
2018-03-08,2454,11617109,3566334106,304.0,309.5,302.5,309.5,9.5,6605
2018-03-09,2454,8455746,2622196817,309.5,312.5,307.5,310.5,1.0,4353
2018-03-12,2454,12539320,3982510120,312.0,322.5,311.5,317.0,6.5,8073
2018-03-13,2454,10215713,3261185234,317.0,320.5,317.0,319.0,2.0,5451
2018-03-14,2454,6017705,1896267707,319.0,319.0,313.5,313.5,-5.5,3822
2018-03-15,2454,8616499,2743713183,313.5,321.0,313.5,318.0,4.5,4645
2018-03-16,2454,12301493,3925794781,322.0,322.5,317.0,317.0,-1.0,5719
2018-03-19,2454,18084889,6054487648,321.5,344.0,320.5,334.0,17.0,11517
2018-03-20,2454,16137222,5490746480,335.0,344.0,335.0,342.5,8.5,10246
2018-03-21,2454,12857200,4371958070,348.0,348.0,335.0,336.0,-6.5,9317
2018-03-22,2454,5677495,1917408825,339.0,342.0,335.0,336.0,0.0,4026
2018-03-23,2454,6414475,2101407300,324.0,334.0,323.0,328.0,-8.0,4629
2018-03-26,2454,11777725,4033222125,328.5,347.5,328.0,347.0,19.0,8240
